Date,Sun_Pos,Sun_Sign,Sun_Ret,Mon_Pos,Mon_Sign,Mon_Ret,Mar_Pos,Mar_Sign,Mar_Ret,Mer_Pos,Mer_Sign,Mer_Ret,Jup_Pos,Jup_Sign,Jup_Ret,Ven_Pos,Ven_Sign,Ven_Ret,Sat_Pos,Sat_Sign,Sat_Ret,Rah_Pos,Rah_Sign,Rah_Ret,Ket_Pos,Ket_Sign,Ket_Ret,Close,Close_T1
12-Jan-20,27.05,9,2,12.52,4,2,11.4,8,2,27.56,9,2,15.04,9,2,3.42,11,2,28.33,9,2,14.17,3,1,14.17,9,1,12355.5,12352.34961
13-Jan-20,28.06,9,2,27.19,4,2,12.2,8,2,29.35,9,2,15.17,9,2,4.55,11,2,28.4,9,2,14.15,3,1,14.15,9,1,12352.34961,12224.54981
14-Jan-20,29.07,9,2,11.52,5,2,13.01,8,2,1.14,10,2,15.31,9,2,6.08,11,2,28.48,9,2,14.14,3,1,14.14,9,1,12224.54981,12169.84961
15-Jan-20,0.08,10,2,26.24,5,2,13.42,8,2,2.54,10,2,15.45,9,2,7.21,11,2,28.55,9,2,14.12,3,1,14.12,9,1,12169.84961,12106.90039
16-Jan-20,1.09,10,2,10.5,6,2,14.22,8,2,4.34,10,2,15.58,9,2,8.34,11,2,29.02,9,2,14.1,3,1,14.1,9,1,12106.90039,12180.34961
17-Jan-20,2.11,10,2,25.06,6,2,15.03,8,2,6.15,10,2,16.12,9,2,9.46,11,2,29.09,9,2,14.09,3,1,14.09,9,1,12180.34961,12248.25
18-Jan-20,3.12,10,2,9.1,7,2,15.44,8,2,7.56,10,2,16.25,9,2,10.59,11,2,29.16,9,2,14.09,3,1,14.09,9,1,12248.25,12119
19-Jan-20,4.13,10,2,23,7,2,16.24,8,2,9.38,10,2,16.39,9,2,12.11,11,2,29.23,9,2,14.1,3,1,14.1,9,1,12119,12055.79981
20-Jan-20,5.14,10,2,6.36,8,2,17.05,8,2,11.2,10,2,16.52,9,2,13.24,11,2,29.3,9,2,14.11,3,1,14.11,9,1,12055.79981,12129.5
21-Jan-20,6.15,10,2,19.59,8,2,17.46,8,2,13.02,10,2,17.06,9,2,14.36,11,2,29.37,9,2,14.13,3,1,14.13,9,1,12129.5,12035.79981
22-Jan-20,7.16,10,2,3.09,9,2,18.27,8,2,14.45,10,2,17.19,9,2,15.48,11,2,29.44,9,2,14.14,3,1,14.14,9,1,12035.79981,11962.09961
23-Jan-20,8.17,10,2,16.06,9,2,19.08,8,2,16.28,10,2,17.33,9,2,17.01,11,2,29.51,9,2,14.14,3,1,14.14,9,1,11962.09961,11707.90039
24-Jan-20,9.18,10,2,28.52,9,2,19.48,8,2,18.11,10,2,17.46,9,2,18.13,11,2,29.58,9,2,14.14,3,1,14.14,9,1,11707.90039,11979.65039
25-Jan-20,10.19,10,2,11.25,10,2,20.29,8,2,19.55,10,2,18,9,2,19.25,11,2,0.06,10,2,14.11,3,1,14.11,9,1,11979.65039,12089.15039
26-Jan-20,11.2,10,2,23.48,10,2,21.1,8,2,21.38,10,2,18.13,9,2,20.37,11,2,0.13,10,2,14.08,3,1,14.08,9,1,12089.15039,12137.9502
27-Jan-20,12.21,10,2,6,11,2,21.51,8,2,23.22,10,2,18.26,9,2,21.49,11,2,0.2,10,2,14.03,3,1,14.03,9,1,12137.9502,12098.34961
28-Jan-20,13.22,10,2,18.04,11,2,22.32,8,2,25.05,10,2,18.39,9,2,23.01,11,2,0.27,10,2,13.57,3,1,13.57,9,1,12098.34961,12031.5
29-Jan-20,14.23,10,2,0,12,2,23.13,8,2,26.48,10,2,18.53,9,2,24.12,11,2,0.34,10,2,13.52,3,1,13.52,9,1,12031.5,12107.90039
30-Jan-20,15.24,10,2,11.52,12,2,23.54,8,2,28.3,10,2,19.06,9,2,25.24,11,2,0.41,10,2,13.47,3,1,13.47,9,1,12107.90039,12201.2002
31-Jan-20,16.25,10,2,23.44,12,2,24.34,8,2,0.11,11,2,19.19,9,2,26.35,11,2,0.47,10,2,13.43,3,1,13.43,9,1,12201.2002,12174.65039
01-Feb-20,17.26,10,2,5.38,1,2,25.15,8,2,1.51,11,2,19.32,9,2,27.47,11,2,0.54,10,2,13.41,3,1,13.41,9,1,12174.65039,12113.4502
02-Feb-20,18.27,10,2,17.4,1,2,25.56,8,2,3.29,11,2,19.45,9,2,28.58,11,2,1.01,10,2,13.4,3,1,13.4,9,1,12113.4502,12045.79981
03-Feb-20,19.28,10,2,29.55,1,2,26.37,8,2,5.06,11,2,19.58,9,2,0.09,12,2,1.08,10,2,13.4,3,1,13.4,9,1,12045.79981,11992.5
04-Feb-20,20.29,10,2,12.26,2,2,27.18,8,2,6.4,11,2,20.11,9,2,1.2,12,2,1.15,10,2,13.42,3,1,13.42,9,1,11992.5,12125.90039
05-Feb-20,21.3,10,2,25.2,2,2,27.59,8,2,8.11,11,2,20.24,9,2,2.31,12,2,1.22,10,2,13.44,3,1,13.44,9,1,12125.90039,12080.84961
06-Feb-20,22.3,10,2,8.39,3,2,28.4,8,2,9.39,11,2,20.37,9,2,3.42,12,2,1.29,10,2,13.45,3,1,13.45,9,1,12080.84961,11829.40039
07-Feb-20,23.31,10,2,22.25,3,2,29.22,8,2,11.03,11,2,20.49,9,2,4.53,12,2,1.35,10,2,13.44,3,1,13.44,9,1,11829.40039,11797.90039
08-Feb-20,24.32,10,2,6.37,4,2,0.03,9,2,12.22,11,2,21.02,9,2,6.03,12,2,1.42,10,2,13.42,3,1,13.42,9,1,11797.90039,11678.5
09-Feb-20,25.33,10,2,21.13,4,2,0.44,9,2,13.36,11,2,21.15,9,2,7.14,12,2,1.49,10,2,13.38,3,1,13.38,9,1,11678.5,11633.29981
10-Feb-20,26.34,10,2,6.05,5,2,1.25,9,2,14.44,11,2,21.27,9,2,8.24,12,2,1.56,10,2,13.33,3,1,13.33,9,1,11633.29981,11201.75
11-Feb-20,27.34,10,2,21.06,5,2,2.06,9,2,15.44,11,2,21.4,9,2,9.34,12,2,2.02,10,2,13.26,3,1,13.26,9,1,11201.75,11132.75
12-Feb-20,28.35,10,2,6.06,6,2,2.47,9,2,16.37,11,2,21.52,9,2,10.44,12,2,2.09,10,2,13.19,3,1,13.19,9,1,11132.75,11303.29981
13-Feb-20,29.36,10,2,20.56,6,2,3.28,9,2,17.22,11,2,22.05,9,2,11.54,12,2,2.16,10,2,13.12,3,1,13.12,9,1,11303.29981,11251
14-Feb-20,0.36,11,2,5.29,7,2,4.09,9,2,17.58,11,2,22.17,9,2,13.04,12,2,2.22,10,2,13.08,3,1,13.08,9,1,11251,11269
15-Feb-20,1.37,11,2,19.42,7,2,4.51,9,2,18.24,11,2,22.29,9,2,14.14,12,2,2.29,10,2,13.05,3,1,13.05,9,1,11269,10989.4502
16-Feb-20,2.38,11,2,3.32,8,2,5.32,9,2,18.4,11,2,22.41,9,2,15.23,12,2,2.35,10,2,13.04,3,1,13.04,9,1,10989.4502,10451.4502
17-Feb-20,3.38,11,2,17,8,2,6.13,9,2,18.45,11,2,22.54,9,2,16.32,12,2,2.42,10,2,13.05,3,1,13.05,9,1,10451.4502,10458.40039
18-Feb-20,4.39,11,2,0.09,9,2,6.54,9,2,18.4,11,1,23.06,9,2,17.42,12,2,2.48,10,2,13.06,3,1,13.06,9,1,10458.40039,9590.150391
19-Feb-20,5.39,11,2,13.01,9,2,7.36,9,2,18.25,11,1,23.18,9,2,18.51,12,2,2.54,10,2,13.07,3,1,13.07,9,1,9590.150391,9955.200195
20-Feb-20,6.4,11,2,25.38,9,2,8.17,9,2,18,11,1,23.3,9,2,19.59,12,2,3.01,10,2,13.06,3,1,13.06,9,1,9955.200195,9197.400391
21-Feb-20,7.4,11,2,8.05,10,2,8.58,9,2,17.26,11,1,23.41,9,2,21.08,12,2,3.07,10,2,13.03,3,1,13.03,9,1,9197.400391,8967.049805
22-Feb-20,8.41,11,2,20.22,10,2,9.4,9,2,16.43,11,1,23.53,9,2,22.17,12,2,3.13,10,2,12.57,3,1,12.57,9,1,8967.049805,8468.799805
23-Feb-20,9.41,11,2,2.32,11,2,10.21,9,2,15.52,11,1,24.05,9,2,23.25,12,2,3.2,10,2,12.49,3,1,12.49,9,1,8468.799805,8263.450195
24-Feb-20,10.42,11,2,14.35,11,2,11.02,9,2,14.56,11,1,24.17,9,2,24.33,12,2,3.26,10,2,12.38,3,1,12.38,9,1,8263.450195,8745.450195
25-Feb-20,11.42,11,2,26.33,11,2,11.44,9,2,13.55,11,1,24.28,9,2,25.41,12,2,3.32,10,2,12.26,3,1,12.26,9,1,8745.450195,7610.25
26-Feb-20,12.42,11,2,8.27,12,2,12.25,9,2,12.52,11,1,24.39,9,2,26.49,12,2,3.38,10,2,12.14,3,1,12.14,9,1,7610.25,7801.049805
27-Feb-20,13.43,11,2,20.18,12,2,13.07,9,2,11.47,11,1,24.51,9,2,27.56,12,2,3.44,10,2,12.03,3,1,12.03,9,1,7801.049805,8317.849609
28-Feb-20,14.43,11,2,2.09,1,2,13.48,9,2,10.42,11,1,25.02,9,2,29.04,12,2,3.5,10,2,11.53,3,1,11.53,9,1,8317.849609,8641.450195
29-Feb-20,15.43,11,2,14.03,1,2,14.29,9,2,9.39,11,1,25.13,9,2,0.11,1,2,3.56,10,2,11.46,3,1,11.46,9,1,8641.450195,8660.25
01-Mar-20,16.44,11,2,26.04,1,2,15.11,9,2,8.4,11,1,25.24,9,2,1.18,1,2,4.02,10,2,11.41,3,1,11.41,9,1,8660.25,8281.099609
02-Mar-20,17.44,11,2,8.15,2,2,15.52,9,2,7.44,11,1,25.35,9,2,2.24,1,2,4.07,10,2,11.39,3,1,11.39,9,1,8281.099609,8597.75
03-Mar-20,18.44,11,2,20.41,2,2,16.34,9,2,6.54,11,1,25.46,9,2,3.31,1,2,4.13,10,2,11.39,3,1,11.39,9,1,8597.75,8253.799805
04-Mar-20,19.44,11,2,3.28,3,2,17.15,9,2,6.1,11,1,25.57,9,2,4.37,1,2,4.19,10,2,11.39,3,1,11.39,9,1,8253.799805,8083.799805
05-Mar-20,20.44,11,2,16.4,3,2,17.57,9,2,5.32,11,1,26.08,9,2,5.43,1,2,4.25,10,2,11.39,3,1,11.39,9,1,8083.799805,8792.200195
06-Mar-20,21.44,11,2,0.2,4,2,18.38,9,2,5.01,11,1,26.19,9,2,6.49,1,2,4.3,10,2,11.38,3,1,11.38,9,1,8792.200195,8748.75
07-Mar-20,22.44,11,2,14.3,4,2,19.2,9,2,4.37,11,1,26.29,9,2,7.54,1,2,4.36,10,2,11.34,3,1,11.34,9,1,8748.75,9111.900391
08-Mar-20,23.44,11,2,29.09,4,2,20.01,9,2,4.19,11,1,26.39,9,2,9,1,2,4.41,10,2,11.28,3,1,11.28,9,1,9111.900391,
09-Mar-20,24.44,11,2,14.11,5,2,20.43,9,2,4.09,11,1,26.5,9,2,10.05,1,2,4.47,10,2,11.19,3,1,11.19,9,1,,
10-Mar-20,25.44,11,2,29.27,5,2,21.24,9,2,4.04,11,1,27,9,2,11.09,1,2,4.52,10,2,11.08,3,1,11.08,9,1,,
11-Mar-20,26.44,11,2,14.46,6,2,22.06,9,2,4.07,11,2,27.1,9,2,12.14,1,2,4.57,10,2,10.57,3,1,10.57,9,1,,
12-Mar-20,27.44,11,2,29.57,6,2,22.47,9,2,4.15,11,2,27.2,9,2,13.18,1,2,5.02,10,2,10.47,3,1,10.47,9,1,,
13-Mar-20,28.44,11,2,14.5,7,2,23.29,9,2,4.29,11,2,27.3,9,2,14.21,1,2,5.08,10,2,10.39,3,1,10.39,9,1,,
14-Mar-20,29.44,11,2,29.18,7,2,24.11,9,2,4.48,11,2,27.4,9,2,15.25,1,2,5.13,10,2,10.34,3,1,10.34,9,1,,
15-Mar-20,0.44,12,2,13.18,8,2,24.52,9,2,5.12,11,2,27.5,9,2,16.28,1,2,5.18,10,2,10.31,3,1,10.31,9,1,,
16-Mar-20,1.43,12,2,26.51,8,2,25.34,9,2,5.41,11,2,27.59,9,2,17.31,1,2,5.23,10,2,10.3,3,1,10.3,9,1,,
17-Mar-20,2.43,12,2,9.58,9,2,26.16,9,2,6.15,11,2,28.09,9,2,18.33,1,2,5.28,10,2,10.3,3,1,10.3,9,1,,
18-Mar-20,3.43,12,2,22.44,9,2,26.57,9,2,6.53,11,2,28.18,9,2,19.35,1,2,5.32,10,2,10.3,3,1,10.3,9,1,,
19-Mar-20,4.43,12,2,5.13,10,2,27.39,9,2,7.35,11,2,28.27,9,2,20.37,1,2,5.37,10,2,10.28,3,1,10.28,9,1,,
20-Mar-20,5.42,12,2,17.28,10,2,28.21,9,2,8.2,11,2,28.36,9,2,21.39,1,2,5.42,10,2,10.23,3,1,10.23,9,1,,
21-Mar-20,6.42,12,2,29.35,10,2,29.02,9,2,9.09,11,2,28.45,9,2,22.4,1,2,5.46,10,2,10.16,3,1,10.16,9,1,,
22-Mar-20,7.41,12,2,11.34,11,2,29.44,9,2,10.02,11,2,28.54,9,2,23.4,1,2,5.51,10,2,10.06,3,1,10.06,9,1,,
23-Mar-20,8.41,12,2,23.3,11,2,0.26,10,2,10.57,11,2,29.03,9,2,24.41,1,2,5.55,10,2,9.53,3,1,9.53,9,1,,
24-Mar-20,9.41,12,2,5.23,12,2,1.07,10,2,11.55,11,2,29.11,9,2,25.4,1,2,6,10,2,9.38,3,1,9.38,9,1,,
25-Mar-20,10.4,12,2,17.15,12,2,1.49,10,2,12.56,11,2,29.2,9,2,26.4,1,2,6.04,10,2,9.24,3,1,9.24,9,1,,
26-Mar-20,11.39,12,2,29.07,12,2,2.31,10,2,14,11,2,29.28,9,2,27.39,1,2,6.08,10,2,9.09,3,1,9.09,9,1,,
27-Mar-20,12.39,12,2,11.01,1,2,3.12,10,2,15.06,11,2,29.36,9,2,28.37,1,2,6.13,10,2,8.57,3,1,8.57,9,1,,
28-Mar-20,13.38,12,2,22.59,1,2,3.54,10,2,16.14,11,2,29.45,9,2,29.35,1,2,6.17,10,2,8.48,3,1,8.48,9,1,,
29-Mar-20,14.38,12,2,5.02,2,2,4.36,10,2,17.25,11,2,29.53,9,2,0.33,2,2,6.21,10,2,8.41,3,1,8.41,9,1,,
30-Mar-20,15.37,12,2,17.15,2,2,5.17,10,2,18.37,11,2,0,10,2,1.3,2,2,6.25,10,2,8.37,3,1,8.37,9,1,,
31-Mar-20,16.36,12,2,29.41,2,2,5.59,10,2,19.52,11,2,0.08,10,2,2.27,2,2,6.28,10,2,8.36,3,1,8.36,9,1,,
01-Apr-20,17.35,12,2,12.25,3,2,6.41,10,2,21.09,11,2,0.16,10,2,3.23,2,2,6.32,10,2,8.36,3,1,8.36,9,1,,
02-Apr-20,18.35,12,2,25.31,3,2,7.23,10,2,22.27,11,2,0.23,10,2,4.18,2,2,6.36,10,2,8.36,3,1,8.36,9,1,,
03-Apr-20,19.34,12,2,9.02,4,2,8.04,10,2,23.48,11,2,0.3,10,2,5.13,2,2,6.39,10,2,8.34,3,1,8.34,9,1,,
04-Apr-20,20.33,12,2,23.02,4,2,8.46,10,2,25.1,11,2,0.37,10,2,6.07,2,2,6.43,10,2,8.31,3,1,8.31,9,1,,
05-Apr-20,21.32,12,2,7.31,5,2,9.28,10,2,26.34,11,2,0.44,10,2,7.01,2,2,6.46,10,2,8.25,3,1,8.25,9,1,,
06-Apr-20,22.31,12,2,22.24,5,2,10.09,10,2,28,11,2,0.51,10,2,7.54,2,2,6.5,10,2,8.17,3,1,8.17,9,1,,
07-Apr-20,23.3,12,2,7.36,6,2,10.51,10,2,29.27,11,2,0.58,10,2,8.46,2,2,6.53,10,2,8.07,3,1,8.07,9,1,,
08-Apr-20,24.29,12,2,22.56,6,2,11.33,10,2,0.56,12,2,1.04,10,2,9.37,2,2,6.56,10,2,7.56,3,1,7.56,9,1,,
09-Apr-20,25.28,12,2,8.13,7,2,12.14,10,2,2.27,12,2,1.1,10,2,10.28,2,2,6.59,10,2,7.46,3,1,7.46,9,1,,
10-Apr-20,26.27,12,2,23.16,7,2,12.56,10,2,3.59,12,2,1.17,10,2,11.18,2,2,7.02,10,2,7.38,3,1,7.38,9,1,,
11-Apr-20,27.26,12,2,7.55,8,2,13.38,10,2,5.33,12,2,1.23,10,2,12.08,2,2,7.05,10,2,7.33,3,1,7.33,9,1,,
12-Apr-20,28.25,12,2,22.07,8,2,14.2,10,2,7.08,12,2,1.29,10,2,12.56,2,2,7.08,10,2,7.3,3,1,7.3,9,1,,
13-Apr-20,29.23,12,2,5.49,9,2,15.01,10,2,8.45,12,2,1.34,10,2,13.44,2,2,7.11,10,2,7.29,3,1,7.29,9,1,,
14-Apr-20,0.22,1,2,19.03,9,2,15.43,10,2,10.24,12,2,1.4,10,2,14.31,2,2,7.13,10,2,7.29,3,1,7.29,9,1,,
15-Apr-20,1.21,1,2,1.52,10,2,16.25,10,2,12.04,12,2,1.45,10,2,15.17,2,2,7.16,10,2,7.3,3,1,7.3,9,1,,
16-Apr-20,2.2,1,2,14.21,10,2,17.06,10,2,13.46,12,2,1.51,10,2,16.02,2,2,7.18,10,2,7.29,3,1,7.29,9,1,,
17-Apr-20,3.18,1,2,26.34,10,2,17.48,10,2,15.29,12,2,1.56,10,2,16.46,2,2,7.21,10,2,7.26,3,1,7.26,9,1,,
18-Apr-20,4.17,1,2,8.37,11,2,18.3,10,2,17.14,12,2,2.01,10,2,17.29,2,2,7.23,10,2,7.21,3,1,7.21,9,1,,
19-Apr-20,5.16,1,2,20.32,11,2,19.11,10,2,19.01,12,2,2.05,10,2,18.11,2,2,7.25,10,2,7.13,3,1,7.13,9,1,,
20-Apr-20,6.14,1,2,2.24,12,2,19.53,10,2,20.49,12,2,2.1,10,2,18.52,2,2,7.27,10,2,7.04,3,1,7.04,9,1,,
21-Apr-20,7.13,1,2,14.15,12,2,20.35,10,2,22.39,12,2,2.14,10,2,19.32,2,2,7.29,10,2,6.53,3,1,6.53,9,1,,
22-Apr-20,8.11,1,2,26.08,12,2,21.16,10,2,24.3,12,2,2.19,10,2,20.1,2,2,7.31,10,2,6.41,3,1,6.41,9,1,,
23-Apr-20,9.1,1,2,8.03,1,2,21.58,10,2,26.23,12,2,2.23,10,2,20.48,2,2,7.33,10,2,6.3,3,1,6.3,9,1,,
24-Apr-20,10.08,1,2,20.03,1,2,22.39,10,2,28.18,12,2,2.26,10,2,21.24,2,2,7.35,10,2,6.21,3,1,6.21,9,1,,
25-Apr-20,11.07,1,2,2.09,2,2,23.21,10,2,0.14,1,2,2.3,10,2,21.59,2,2,7.36,10,2,6.13,3,1,6.13,9,1,,
26-Apr-20,12.05,1,2,14.22,2,2,24.02,10,2,2.12,1,2,2.34,10,2,22.33,2,2,7.38,10,2,6.08,3,1,6.08,9,1,,
27-Apr-20,13.04,1,2,26.44,2,2,24.44,10,2,4.11,1,2,2.37,10,2,23.05,2,2,7.39,10,2,6.06,3,1,6.06,9,1,,
28-Apr-20,14.02,1,2,9.19,3,2,25.25,10,2,6.13,1,2,2.4,10,2,23.36,2,2,7.41,10,2,6.06,3,1,6.06,9,1,,
29-Apr-20,15,1,2,22.08,3,2,26.07,10,2,8.15,1,2,2.43,10,2,24.05,2,2,7.42,10,2,6.06,3,1,6.06,9,1,,
30-Apr-20,15.59,1,2,5.15,4,2,26.48,10,2,10.19,1,2,2.46,10,2,24.33,2,2,7.43,10,2,6.08,3,1,6.08,9,1,,
01-May-20,16.57,1,2,18.43,4,2,27.3,10,2,12.24,1,2,2.49,10,2,24.59,2,2,7.44,10,2,6.08,3,1,6.08,9,1,,
02-May-20,17.55,1,2,2.35,5,2,28.11,10,2,14.31,1,2,2.51,10,2,25.23,2,2,7.45,10,2,6.07,3,1,6.07,9,1,,
03-May-20,18.53,1,2,16.5,5,2,28.52,10,2,16.39,1,2,2.53,10,2,25.46,2,2,7.46,10,2,6.04,3,1,6.04,9,1,,
04-May-20,19.51,1,2,1.27,6,2,29.34,10,2,18.47,1,2,2.55,10,2,26.07,2,2,7.47,10,2,5.59,3,1,5.59,9,1,,
05-May-20,20.5,1,2,16.21,6,2,0.15,11,2,20.56,1,2,2.57,10,2,26.25,2,2,7.47,10,2,5.53,3,1,5.53,9,1,,
06-May-20,21.48,1,2,1.25,7,2,0.56,11,2,23.06,1,2,2.59,10,2,26.42,2,2,7.48,10,2,5.47,3,1,5.47,9,1,,
07-May-20,22.46,1,2,16.29,7,2,1.38,11,2,25.17,1,2,3.01,10,2,26.57,2,2,7.48,10,2,5.4,3,1,5.4,9,1,,
08-May-20,23.44,1,2,1.24,8,2,2.19,11,2,27.27,1,2,3.02,10,2,27.1,2,2,7.49,10,2,5.35,3,1,5.35,9,1,,
09-May-20,24.42,1,2,16.02,8,2,3,11,2,29.37,1,2,3.03,10,2,27.21,2,2,7.49,10,2,5.32,3,1,5.32,9,1,,
10-May-20,25.4,1,2,0.16,9,2,3.41,11,2,1.46,2,2,3.04,10,2,27.3,2,2,7.49,10,2,5.31,3,1,5.31,9,1,,
11-May-20,26.38,1,2,14.03,9,2,4.22,11,2,3.55,2,2,3.05,10,2,27.36,2,2,7.49,10,2,5.31,3,1,5.31,9,1,,
12-May-20,27.36,1,2,27.24,9,2,5.03,11,2,6.02,2,2,3.05,10,2,27.4,2,2,7.49,10,1,5.32,3,1,5.32,9,1,,
13-May-20,28.34,1,2,10.19,10,2,5.44,11,2,8.09,2,2,3.06,10,2,27.42,2,2,7.49,10,1,5.33,3,1,5.33,9,1,,
14-May-20,29.31,1,2,22.53,10,2,6.25,11,2,10.13,2,2,3.06,10,2,27.41,2,1,7.49,10,1,5.35,3,1,5.35,9,1,,
15-May-20,0.29,2,2,5.09,11,2,7.06,11,2,12.16,2,2,3.06,10,1,27.39,2,1,7.48,10,1,5.35,3,1,5.35,9,1,,
16-May-20,1.27,2,2,17.13,11,2,7.47,11,2,14.16,2,2,3.06,10,1,27.33,2,1,7.48,10,1,5.33,3,1,5.33,9,1,,
17-May-20,2.25,2,2,29.08,11,2,8.28,11,2,16.15,2,2,3.05,10,1,27.26,2,1,7.47,10,1,5.31,3,1,5.31,9,1,,
18-May-20,3.23,2,2,11,12,2,9.09,11,2,18.11,2,2,3.05,10,1,27.15,2,1,7.47,10,1,5.26,3,1,5.26,9,1,,
19-May-20,4.21,2,2,22.52,12,2,9.5,11,2,20.04,2,2,3.04,10,1,27.03,2,1,7.46,10,1,5.21,3,1,5.21,9,1,,
20-May-20,5.18,2,2,4.47,1,2,10.3,11,2,21.54,2,2,3.03,10,1,26.48,2,1,7.45,10,1,5.16,3,1,5.16,9,1,,
21-May-20,6.16,2,2,16.47,1,2,11.11,11,2,23.42,2,2,3.02,10,1,26.31,2,1,7.44,10,1,5.11,3,1,5.11,9,1,,
22-May-20,7.14,2,2,28.55,1,2,11.52,11,2,25.26,2,2,3.01,10,1,26.11,2,1,7.43,10,1,5.07,3,1,5.07,9,1,,
23-May-20,8.12,2,2,11.12,2,2,12.32,11,2,27.08,2,2,2.59,10,1,25.49,2,1,7.42,10,1,5.04,3,1,5.04,9,1,,
24-May-20,9.09,2,2,23.4,2,2,13.12,11,2,28.46,2,2,2.58,10,1,25.25,2,1,7.41,10,1,5.02,3,1,5.02,9,1,,
25-May-20,10.07,2,2,6.19,3,2,13.53,11,2,0.22,3,2,2.56,10,1,24.59,2,1,7.4,10,1,5.01,3,1,5.01,9,1,,
26-May-20,11.05,2,2,19.1,3,2,14.33,11,2,1.54,3,2,2.54,10,1,24.31,2,1,7.38,10,1,5.02,3,1,5.02,9,1,,
27-May-20,12.02,2,2,2.15,4,2,15.13,11,2,3.23,3,2,2.51,10,1,24.01,2,1,7.37,10,1,5.03,3,1,5.03,9,1,,
28-May-20,13,2,2,15.34,4,2,15.54,11,2,4.49,3,2,2.49,10,1,23.29,2,1,7.35,10,1,5.05,3,1,5.05,9,1,,
29-May-20,13.57,2,2,29.1,4,2,16.34,11,2,6.11,3,2,2.46,10,1,22.56,2,1,7.34,10,1,5.06,3,1,5.06,9,1,,
30-May-20,14.55,2,2,13.01,5,2,17.14,11,2,7.31,3,2,2.44,10,1,22.22,2,1,7.32,10,1,5.06,3,1,5.06,9,1,,
31-May-20,15.52,2,2,27.08,5,2,17.54,11,2,8.46,3,2,2.41,10,1,21.46,2,1,7.3,10,1,5.06,3,1,5.06,9,1,,
01-Jun-20,16.5,2,2,11.3,6,2,18.33,11,2,9.59,3,2,2.37,10,1,21.1,2,1,7.28,10,1,5.05,3,1,5.05,9,1,,
02-Jun-20,17.47,2,2,26.02,6,2,19.13,11,2,11.08,3,2,2.34,10,1,20.33,2,1,7.26,10,1,5.03,3,1,5.03,9,1,,
03-Jun-20,18.45,2,2,10.42,7,2,19.53,11,2,12.13,3,2,2.31,10,1,19.55,2,1,7.24,10,1,5.01,3,1,5.01,9,1,,
04-Jun-20,19.42,2,2,25.22,7,2,20.33,11,2,13.15,3,2,2.27,10,1,19.17,2,1,7.22,10,1,4.59,3,1,4.59,9,1,,
05-Jun-20,20.4,2,2,9.55,8,2,21.12,11,2,14.13,3,2,2.23,10,1,18.4,2,1,7.2,10,1,4.58,3,1,4.58,9,1,,
06-Jun-20,21.37,2,2,24.16,8,2,21.51,11,2,15.07,3,2,2.19,10,1,18.02,2,1,7.17,10,1,4.57,3,1,4.57,9,1,,
